,,12/6/2025,,,12/7/2025,,,12/8/2025,,,12/9/2025,,,12/10/2025,,,12/11/25,,,12/12/25,,,12/13/2025,,,12/14/2025,,,12/15/2025,,,12/16/2025,,
ITEMS,,NEW STOCK,DEDUCTION,REMAIN,NEW STOCK,DEDUCTION,REMAIN,NEW STOCK,DEDUCTION,REMAIN,NEW STOCK,DEDUCTION,REMAIN,NEW STOCK,DEDUCTION,REMAIN,NEW STOCK,DEDUCTION,REMAIN,NEW STOCK,DEDUCTION,REMAIN,NEW STOCK,DEDUCTION,REMAIN,NEW STOCK,DEDUCTION,REMAIN,NEW STOCK,DEDUCTION,REMAIN,NEW STOCK,DEDUCTION,REMAIN
Mushroom Gravy,Pack,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Mushroom Cream,Pack,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Tomato Paste (S),Pack,0,,0,1,1,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Tomato Sauce (115g),Pack,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Tomato Sauce (250g),Pack,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Ginisa Mix (250g),pack,2,,2,,1,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1
Adobo Mix (50g),Pack,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Palabok Mix,Pack,6,6,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Condense (Alaska/Cow Bell),Can,179,50,129,,16,113,,1,112,,,112,,,112,,,112,,,112,,,112,,,112,,,112,,,112
Mineral Water,Box,19,,19,,1,18,,1,17,,,17,,,17,,,17,,,17,,,17,,,17,,,17,,,17
Brown Sugar,Kg,4,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4
White Sugar,Kg,86,45,41,,29,12,50,22,40,,,40,,,40,,,40,,,40,,,40,,,40,,,40,,,40
Pilit,Kg,0,,0,10,10,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Asado Mix,Pack,27,1,26,,,26,,,26,,,26,,,26,,,26,,,26,,,26,,,26,,,26,,,26
Board,,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Nacho Chips,Pack,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Sausage,Pc,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Chiffon Mix,Bag,3,1,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2
Spaghetti Spice Mix,Pack,1,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1
Brownies,Bag,9,,9,,,9,,,9,,,9,,,9,,,9,,,9,,,9,,,9,,,9,,,9
Chocolate Mousse,,9,1,8,,,8,,,8,,,8,,,8,,,8,,,8,,,8,,,8,,,8,,,8
Butter Icing,,3,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3
16 oz. Cup,Pc,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Ice Cream,Gallon,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Choco Flour,Pack,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Magnolia Gold,Pc,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Vana Blanca,Pack,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
All-Purpose Flour,Kg,32,12,20,,14,6,25,6,25,,,25,,,25,,,25,,,25,,,25,,,25,,,25,,,25
Hersheys,500grms,50,7,43,,8,35,,,35,,,35,,,35,,,35,,,35,,,35,,,35,,,35,,,35
Cake Flour,Kg,23,,23,,5,18,,5,13,,,13,,,13,,,13,,,13,,,13,,,13,,,13,,,13
Iland,Kg,23,3,20,,3,17,,3,14,,,14,,,14,,,14,,,14,,,14,,,14,,,14,,,14
Bravo Buttercream,Pc,180,33,147,,53,94,,,94,,,94,,,94,,,94,,,94,,,94,,,94,,,94,,,94
Cream Cheese,Pc,8,,8,,,8,,,8,,,8,,,8,,,8,,,8,,,8,,,8,,,8,,,8
Pleasure Gold,Pc,51,11,40,,4,36,,,36,,,36,,,36,,,36,,,36,,,36,,,36,,,36,,,36
Bunge,pack,18,2,16,,,16,,,16,,,16,,,16,,,16,,,16,,,16,,,16,,,16,,,16
Egg,Pcs,978,368,610,,216,394,300,259,435,,,435,,,435,,,435,,,435,,,435,,,435,,,435,,,435
Mascobado,Kg,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Dari Crème,Pc,77,12,65,,,65,,8,57,,,57,,,57,,,57,,,57,,,57,,,57,,,57,,,57
Ube Flavor,Bot.,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Chocolate Flavorade,Bot.,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Soya Oil,,2,,2,,,2,2,2,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2
Blue Berry,Can,1,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1
Rufina,Bot.,3,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3
Cream Corn,Can,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Mixed Mushroom,Can,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Cream Mushroom,Can,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Parmesan Cheese,bot,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Parsley,bot,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Basil Leaves,bot,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Hot Sauce,bot,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Grbanzos,Can,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
